"season","round","date","Home_team","Away_team","home_score","away_score","WinningTeam","margin","BO_Diff","CCL_Diff","CG_Diff","CL_Diff","CM_Diff","CP_Diff","D_Diff","DE_Diff","FA_Diff","FF_Diff","GA_Diff","HB_Diff","I50_Diff","ITC_Diff","K_Diff","M_Diff","MG_Diff","OP_Diff","R50_Diff","SCL_Diff","SI_Diff","TO_Diff","UP_Diff","T5_Diff","Winner"
2017,"Round 11",2017-06-01,"Port Adelaide","Hawthorn",98,47,"Port Adelaide",51,-2,5,-12,8,11,38,75,-1.2,-4,5,6,42,38,13,33,8,864,-15,-29,3,45,-12,32,21,"HOME"
2017,"Round 11",2017-06-02,"Geelong","Adelaide",96,74,"Geelong",22,-2,1,2,-2,2,34,108,5.3,-1,1,0,69,1,12,39,32,590,-5,5,-3,62,-12,88,0,"HOME"
2017,"Round 11",2017-06-03,"Gold Coast","West Coast",80,77,"Gold Coast",3,8,-8,13,-8,4,19,66,4.2,1,-1,-1,34,-1,8,32,20,234,5,4,0,33,-8,55,-8,"HOME"
2017,"Round 11",2017-06-03,"GWS","Essendon",117,101,"GWS",16,1,-4,-1,6,-5,11,18,6.40000000000001,-1,1,2,-12,9,-6,30,14,413,-9,-5,10,15,6,3,4,"HOME"
2017,"Round 12",2017-06-08,"Sydney","Western Bulldogs",88,42,"Sydney",46,0,9,-6,8,10,16,43,3.3,-9,9,3,-22,31,2,65,41,1146,1,-19,-1,69,-3,24,12,"HOME"
2017,"Round 12",2017-06-09,"Adelaide","St Kilda",111,54,"Adelaide",57,13,-1,-8,2,-4,5,5,-1.19999999999999,-12,12,1,-14,16,-3,19,14,808,3,-6,3,16,3,7,6,"HOME"
2017,"Round 12",2017-06-10,"Brisbane","Fremantle",121,64,"Brisbane",57,1,7,-13,18,1,28,122,3.90000000000001,-13,13,8,52,22,0,70,41,1111,4,-9,11,91,0,92,12,"HOME"
2017,"Round 12",2017-06-10,"Essendon","Port Adelaide",131,61,"Essendon",70,22,1,1,0,2,11,86,4.5,3,-3,1,51,16,4,35,14,1433,-11,-2,-1,81,-4,66,-3,"HOME"
2017,"Round 12",2017-06-11,"Carlton","GWS",71,70,"Carlton",1,-9,-4,3,-18,-2,9,-29,-3.09999999999999,-5,5,1,-47,-14,1,18,12,-27,6,11,-14,-14,-1,-37,-14,"HOME"
2017,"Round 12",2017-06-12,"Melbourne","Collingwood",104,100,"Melbourne",4,-8,5,-8,0,-12,6,-28,0.699999999999989,-4,4,-2,-2,-4,4,-26,-50,500,10,9,-5,-30,-4,-36,-3,"HOME"
2017,"Round 13",2017-06-15,"West Coast","Geelong",83,70,"West Coast",13,3,-9,-17,-5,-10,2,2,-1.80000000000001,-3,3,-1,-30,16,7,32,5,449,-3,-6,4,4,-7,-5,8,"HOME"
2017,"Round 13",2017-06-17,"Port Adelaide","Brisbane",121,81,"Port Adelaide",40,6,9,2,9,12,17,3,0.599999999999994,1,0,7,-4,23,-1,7,-14,894,2,-13,0,26,2,-28,9,"HOME"
2017,"Round 14",2017-06-23,"Sydney","Essendon",86,85,"Sydney",1,0,-1,2,6,10,14,31,0.700000000000003,0,0,-1,-5,-1,5,36,17,43,-22,-1,7,3,-5,16,-1,"HOME"
2017,"Round 14",2017-06-24,"Western Bulldogs","North Melbourne",107,106,"Western Bulldogs",1,4,6,-12,5,-3,15,70,0.900000000000006,-12,12,1,17,-1,4,53,19,-202,15,1,-1,45,-4,54,-13,"HOME"
2017,"Round 14",2017-06-25,"Geelong","Fremantle",74,72,"Geelong",2,-8,-3,-1,3,8,17,16,5.09999999999999,-4,4,-3,22,10,7,-6,10,-59,-14,-12,6,24,-5,14,23,"HOME"
2017,"Round 14",2017-06-25,"Richmond","Carlton",84,58,"Richmond",26,4,4,7,-10,-3,6,40,2.89999999999999,-2,2,4,41,21,9,-1,-7,662,-5,-15,-14,93,-11,45,7,"HOME"
2017,"Round 14",2017-06-25,"St Kilda","Gold Coast",103,72,"St Kilda",31,-10,1,-17,-2,-3,1,-28,-4.59999999999999,-4,4,1,-14,4,11,-14,-28,282,-8,-3,-3,27,-11,-32,2,"HOME"
2017,"Round 15",2017-07-01,"Gold Coast","North Melbourne",118,99,"Gold Coast",19,9,8,15,25,1,12,71,1,-7,7,3,24,4,-16,47,22,-52,0,0,17,-15,17,49,1,"HOME"
2017,"Round 15",2017-07-02,"Hawthorn","Collingwood",118,94,"Hawthorn",24,-2,4,-9,5,-4,12,48,3.09999999999999,-5,5,1,26,-2,1,22,16,219,15,9,1,0,-1,43,7,"HOME"
2017,"Round 16",2017-07-07,"Adelaide","Western Bulldogs",104,45,"Adelaide",59,5,-3,-5,-21,16,-6,30,8.5,5,-5,9,-8,-3,7,38,67,831,20,14,-18,20,-8,53,2,"HOME"
2017,"Round 16",2017-07-08,"Sydney","Gold Coast",118,51,"Sydney",67,-3,-4,4,5,11,23,42,3.5,1,-1,4,41,9,8,1,-7,1184,-7,4,9,71,-7,32,0,"HOME"
2017,"Round 16",2017-07-08,"St Kilda","Richmond",138,71,"St Kilda",67,7,-1,5,5,8,14,110,9.69999999999999,-3,3,8,64,19,3,46,16,1300,5,-2,6,32,-2,85,4,"HOME"
2017,"Round 17",2017-07-15,"Geelong","Hawthorn",88,85,"Geelong",3,-6,-2,-2,-10,3,-8,-39,-1.5,-4,4,0,-32,-9,3,-7,-6,-329,-2,8,-8,9,-2,-35,-1,"HOME"
2017,"Round 17",2017-07-15,"Port Adelaide","North Melbourne",127,57,"Port Adelaide",70,5,11,11,19,4,36,77,1.3,6,-6,9,11,16,-7,66,38,1287,5,-3,8,60,6,45,2,"HOME"
2017,"Round 17",2017-07-16,"Richmond","Brisbane",112,81,"Richmond",31,12,16,13,15,-3,30,67,-3.3,5,-5,5,53,28,-2,14,-13,649,-7,-24,-1,26,0,45,12,"HOME"
2017,"Round 18",2017-07-21,"Adelaide","Geelong",91,70,"Adelaide",21,-4,4,6,20,-4,9,18,-0.800000000000011,1,-1,-2,-33,6,-3,51,28,784,24,5,16,28,1,0,2,"HOME"
2017,"Round 18",2017-07-22,"Essendon","North Melbourne",132,105,"Essendon",27,-5,10,5,23,-8,27,-3,0.399999999999991,0,0,4,31,-4,-7,-34,-60,43,2,8,13,22,8,-20,-5,"HOME"
2017,"Round 18",2017-07-22,"Melbourne","Port Adelaide",88,65,"Melbourne",23,-1,4,0,12,-1,29,77,5,-8,8,-2,46,17,-6,31,15,1081,-17,-11,8,6,6,30,2,"HOME"
2017,"Round 18",2017-07-22,"Western Bulldogs","Gold Coast",110,56,"Western Bulldogs",54,13,0,-18,-1,7,23,69,1.3,-11,11,9,27,22,8,42,25,899,-3,-12,-1,65,-7,44,6,"HOME"
2017,"Round 18",2017-07-22,"Sydney","St Kilda",101,59,"Sydney",42,-1,4,6,7,11,10,-42,-0.400000000000006,7,-7,4,-35,28,3,-7,-3,917,27,-20,3,53,-2,-53,-2,"HOME"
2017,"Round 18",2017-07-23,"Richmond","GWS",64,45,"Richmond",19,6,-1,-9,0,-4,-23,-65,-5.60000000000001,8,-8,1,-42,10,1,-23,-21,153,7,-7,1,-16,-1,-49,9,"HOME"
2017,"Round 18",2017-07-23,"Collingwood","West Coast",93,85,"Collingwood",8,4,2,-4,8,-5,25,28,1.2,-10,10,-4,34,11,4,-6,-39,344,-6,-10,6,33,-4,9,-4,"HOME"
2017,"Round 18",2017-07-23,"Brisbane","Carlton",112,82,"Brisbane",30,4,-5,-15,2,-5,-18,89,8.7,-7,7,6,57,-1,3,32,58,111,0,7,7,33,-4,114,-4,"HOME"
2017,"Round 19",2017-07-28,"Hawthorn","Sydney",72,66,"Hawthorn",6,0,-2,4,-1,16,10,41,3.2,0,0,1,-7,5,2,48,46,-565,-2,-13,1,6,-3,27,6,"HOME"
2017,"Round 19",2017-07-29,"North Melbourne","Melbourne",76,72,"North Melbourne",4,-8,-3,-11,1,1,4,-27,-4.5,-7,7,5,-14,-11,1,-13,-8,-274,0,9,4,7,2,-26,-16,"HOME"
2017,"Round 19",2017-07-29,"GWS","Fremantle",98,86,"GWS",12,8,-1,16,13,-3,27,14,-9.59999999999999,2,-2,0,15,6,4,-1,-31,15,2,-4,14,29,-4,-6,-1,"HOME"
2017,"Round 19",2017-07-29,"Port Adelaide","St Kilda",63,61,"Port Adelaide",2,-4,5,27,-8,3,-2,-20,-8.90000000000001,9,-9,-1,-52,6,0,32,21,-205,-7,-5,-13,-20,0,-24,-4,"HOME"
2017,"Round 19",2017-07-30,"Western Bulldogs","Essendon",127,97,"Western Bulldogs",30,1,6,-15,14,-5,13,-23,-1.59999999999999,-5,5,2,-48,3,-6,25,-2,271,-14,-6,8,-25,3,-41,-2,"HOME"
2017,"Round 19",2017-07-30,"West Coast","Brisbane",113,45,"West Coast",68,15,-4,11,12,-3,17,-29,-7.60000000000001,5,-5,6,-49,15,-1,20,9,944,13,-4,16,44,3,-31,1,"HOME"
2017,"Round 20",2017-08-05,"GWS","Melbourne",97,62,"GWS",35,1,7,0,17,-13,-14,-28,1.8,-4,4,3,-45,-2,7,17,-18,510,23,12,10,38,-7,-17,-5,"HOME"
2017,"Round 20",2017-08-05,"Essendon","Carlton",84,76,"Essendon",8,-1,-7,-13,-14,-2,-1,14,4.60000000000001,-3,3,-1,53,2,10,-39,-24,15,-9,-3,-7,35,-11,19,7,"HOME"
2017,"Round 20",2017-08-05,"Fremantle","Gold Coast",90,67,"Fremantle",23,2,1,-10,5,3,-37,-18,10,1,-2,-1,-34,-1,7,16,32,592,0,5,4,48,-8,14,5,"HOME"
2017,"Round 20",2017-08-06,"St Kilda","West Coast",103,95,"St Kilda",8,6,10,-10,12,11,34,87,3.40000000000001,-9,9,0,39,16,6,48,23,456,-24,-14,2,3,-6,50,27,"HOME"
2017,"Round 20",2017-08-06,"Richmond","Hawthorn",93,64,"Richmond",29,2,2,-5,-4,-7,10,33,-0.0999999999999943,2,-2,6,7,1,4,26,-3,438,18,8,-6,67,-4,14,0,"HOME"
2017,"Round 20",2017-08-06,"Adelaide","Port Adelaide",130,46,"Adelaide",84,0,10,-15,20,13,46,100,0.700000000000003,-7,7,7,14,50,14,86,42,1615,1,-24,10,72,-14,66,18,"HOME"
2017,"Round 21",2017-08-12,"Sydney","Fremantle",143,39,"Sydney",104,5,7,-6,-3,7,11,115,9.3,-7,7,12,57,8,12,58,50,1388,-1,13,-10,86,-12,103,7,"HOME"
2017,"Round 21",2017-08-12,"Geelong","Richmond",80,66,"Geelong",14,6,0,-9,-6,0,18,18,6.7,-11,11,2,19,3,10,-1,-7,191,-6,-3,-6,32,-10,1,-4,"HOME"
2017,"Round 21",2017-08-12,"Brisbane","Gold Coast",142,84,"Brisbane",58,-4,4,-4,4,1,0,46,7,0,0,11,22,-1,-1,24,19,538,9,14,0,53,1,42,-19,"HOME"
2017,"Round 21",2017-08-12,"West Coast","Carlton",100,83,"West Coast",17,-3,6,0,2,3,14,-28,-8.60000000000001,4,-4,-2,-1,-9,6,-27,-21,-219,0,10,-4,-44,-7,-37,-2,"HOME"
2017,"Round 21",2017-08-13,"Melbourne","St Kilda",96,72,"Melbourne",24,1,1,-17,-4,-2,8,30,-3.5,0,0,5,21,7,5,9,15,353,11,-5,-5,33,-7,29,-4,"HOME"
2017,"Round 21",2017-08-13,"Hawthorn","North Melbourne",116,89,"Hawthorn",27,0,-14,-10,-7,2,-13,39,1.39999999999999,6,-6,9,18,-2,10,21,28,528,13,6,7,34,-11,48,-2,"HOME"
2017,"Round 21",2017-08-13,"Port Adelaide","Collingwood",98,71,"Port Adelaide",27,-5,4,-5,-4,-7,-7,35,1.3,-2,2,5,36,8,0,-1,-6,249,33,-3,-8,41,0,33,0,"HOME"
2017,"Round 22",2017-08-19,"GWS","West Coast",81,60,"GWS",21,9,-5,-3,-8,3,8,65,7.3,7,-7,5,43,11,13,22,3,778,5,-5,-3,61,-11,51,-4,"HOME"
2017,"Round 22",2017-08-19,"Carlton","Hawthorn",77,70,"Carlton",7,-9,-4,-5,-13,-5,2,5,-1.39999999999999,-4,3,0,-27,-12,2,32,19,-31,10,13,-9,11,-4,-5,0,"HOME"
2017,"Round 22",2017-08-20,"Melbourne","Brisbane",104,91,"Melbourne",13,8,-5,8,1,-9,11,7,-2.59999999999999,-2,2,3,23,6,-7,-16,-18,282,-10,-7,6,-6,8,-2,6,"HOME"
2017,"Round 22",2017-08-20,"St Kilda","North Melbourne",127,78,"St Kilda",49,5,4,-11,19,-9,-6,56,7.59999999999999,0,0,6,34,17,8,22,12,368,-2,-9,15,53,-8,76,14,"HOME"
2017,"Round 23",2017-08-25,"Hawthorn","Western Bulldogs",99,90,"Hawthorn",9,-10,10,-13,23,-1,1,56,6.10000000000001,-5,5,-1,7,-10,-11,49,25,81,0,10,13,25,9,47,-3,"HOME"
2017,"Round 23",2017-08-26,"Collingwood","Melbourne",99,83,"Collingwood",16,3,-3,-11,2,3,4,-24,-3.3,-4,4,-5,-44,-8,7,20,19,51,-10,9,5,0,-9,-38,-2,"HOME"
2017,"Round 23",2017-08-26,"Sydney","Carlton",138,57,"Sydney",81,-1,1,-16,13,6,8,29,5.40000000000001,-6,7,10,31,14,4,-2,-3,942,9,-3,12,49,-4,15,9,"HOME"
2017,"Round 23",2017-08-27,"Essendon","Fremantle",107,92,"Essendon",15,7,2,-10,9,0,20,90,-1,-13,13,6,27,19,4,63,44,695,-18,-12,7,20,-3,67,2,"HOME"
2017,"Round 23",2017-08-27,"Richmond","St Kilda",122,81,"Richmond",41,2,-3,-10,-10,-1,-14,-3,2.7,-2,2,5,-32,6,8,29,35,454,-5,-2,-7,29,-8,5,-1,"HOME"
2017,"Round 23",2017-08-26,"Geelong","GWS",103,59,"Geelong",44,9,1,-9,-6,11,24,28,3,3,-3,2,10,-2,5,18,19,343,-8,2,-7,33,-6,1,-7,"HOME"
2017,"Round 23",2017-08-26,"Port Adelaide","Gold Coast",135,20,"Port Adelaide",115,-7,3,-9,1,8,42,59,-0.300000000000011,-1,1,13,5,48,23,54,20,1540,9,-28,-2,110,-22,29,21,"HOME"
2017,"Round 23",2017-08-27,"West Coast","Adelaide",100,71,"West Coast",29,-2,-3,-3,-17,15,10,-23,-1.10000000000001,-11,11,0,-52,-3,9,29,21,664,10,5,-14,16,-8,-39,-10,"HOME"
2017,"Qualifying Final",2017-09-07,"Adelaide","GWS",84,48,"Adelaide",36,-6,-4,-7,0,1,-1,-14,0.399999999999991,-5,5,3,-37,0,2,23,14,489,3,6,4,32,-2,-18,-22,"HOME"
2017,"Elimination Final",2017-09-09,"Sydney","Essendon",121,56,"Sydney",65,-6,7,-3,4,18,4,-2,5.5,6,-6,8,-31,22,6,29,33,994,-12,-11,-3,28,-7,-5,8,"HOME"
2017,"Semi Final",2017-09-15,"Geelong","Sydney",98,39,"Geelong",59,2,2,-5,-3,7,25,119,8.90000000000001,-2,2,6,27,12,13,92,76,654,-6,-4,-5,62,-13,110,-5,"HOME"
2017,"Semi Final",2017-09-16,"GWS","West Coast",125,58,"GWS",67,10,0,16,10,3,13,44,1.8,6,-6,11,40,12,4,4,-10,557,12,-2,10,67,0,29,1,"HOME"
2017,"Preliminary Final",2017-09-23,"Richmond","GWS",103,67,"Richmond",36,-2,2,-14,-3,-1,-9,-59,-0.700000000000003,1,-1,4,-51,-3,4,-8,-24,-2,20,0,-5,11,-4,-51,-1,"HOME"
2017,"Preliminary Final",2017-09-22,"Adelaide","Geelong",136,75,"Adelaide",61,-2,-3,4,6,-7,2,33,7.59999999999999,6,-6,5,-42,3,-1,75,54,794,-1,7,9,31,0,36,-4,"HOME"
