"margin","BO_Diff","CCL_Diff","CG_Diff","CL_Diff","CM_Diff","CP_Diff","D_Diff","DE_Diff","FA_Diff","FF_Diff","GA_Diff","HB_Diff","I50_Diff","ITC_Diff","K_Diff","M_Diff","MG_Diff","OP_Diff","R50_Diff","SCL_Diff","SI_Diff","TO_Diff","UP_Diff","T5_Diff"
47,-4,3,-9,12,10,11,112,7.8,-6,6,4,47,4,-5,65,62,854,12,6,9,67,5,95,3
23,1,-5,1,10,1,5,29,-1.8,-3,3,2,-9,6,2,38,28,268,8,-2,15,31,-1,32,0
32,-6,-1,-11,-4,7,6,15,-1,0,0,8,-20,-3,3,35,30,500,-3,8,-3,10,-3,3,3
17,0,4,0,3,-3,19,44,-1.5,0,0,0,38,0,3,6,-12,485,-29,3,-1,24,-4,13,10
5,-6,-7,-4,-11,2,7,18,2,0,0,-4,26,-13,6,-8,-26,-33,-3,15,-4,-1,-6,5,-5
16,2,0,-3,12,3,10,30,-3.4,-1,1,2,22,5,-2,8,-2,502,-1,-1,12,41,2,17,-10
33,-4,-4,-9,-3,7,-2,56,8.30000000000001,7,-7,5,30,10,11,26,33,510,-18,-7,1,44,-11,58,0
16,3,-3,-9,-4,-6,-17,-2,2.59999999999999,1,-1,2,-31,-15,2,29,41,95,-7,17,-1,-26,-3,7,-4
41,-4,-4,-6,4,4,21,70,1.80000000000001,-9,9,2,31,-5,-1,39,17,397,9,14,8,32,2,28,-17
1,-1,4,11,2,-2,-4,2,0.799999999999997,12,-12,-5,11,2,14,-9,-25,70,9,-3,-2,9,-15,4,15
44,-2,-8,-6,-9,17,19,-39,11.5,-1,2,7,-49,0,10,10,17,702,-7,8,-1,15,-9,-51,-4
7,6,0,6,-2,-7,6,44,1.3,-2,2,2,34,-6,1,10,1,247,16,7,-2,21,-1,36,-4
38,0,1,-6,-5,2,17,37,4.2,2,-3,4,23,31,0,14,7,669,44,-24,-6,44,0,45,6
36,14,6,2,10,-7,10,22,-3.10000000000001,5,-5,1,-4,2,-6,26,14,742,14,6,4,13,4,16,0
93,-1,12,-5,19,1,30,188,6.7,5,-5,9,81,31,16,107,80,1423,6,-15,7,123,-14,167,4
31,5,-1,11,-11,3,-8,-22,1.69999999999999,9,-9,4,-17,3,12,-5,-2,542,8,4,-10,-19,-11,-15,-2
23,6,-4,-12,-1,-9,-27,31,2.59999999999999,1,-1,0,4,15,1,27,16,283,5,-11,3,-9,0,37,0
13,1,2,-12,-4,2,17,18,-0.799999999999997,-7,8,1,26,5,12,-8,-10,617,0,-5,-6,38,-11,6,-3
1,9,-8,5,6,1,7,52,-4,-2,2,0,60,2,-2,-8,3,253,15,1,14,42,2,48,-2
37,-3,-3,-2,1,4,22,30,6.40000000000001,-1,1,7,23,-2,10,7,-4,523,-8,6,4,18,-11,18,-1
