"Player_Name","player_team","Games","PositionType","kicks","handballs","disposals","disposal_efficiency_percentage","goals","behinds","hitouts","tackles","rebounds","inside_fifties","clearances","clangers","free_kicks_for","free_kicks_against","contested_possessions","uncontested_possessions","brownlow_votes","contested_marks","marks_inside_fifty","one_percenters","bounces","goal_assists","time_on_ground_percentage","centre_clearances","stoppage_clearances","score_involvements","metres_gained","turnovers","intercepts","tackles_inside_fifty","contest_def_losses","contest_def_one_on_ones","contest_off_one_on_ones","contest_off_wins","def_half_pressure_acts","effective_kicks","f50_ground_ball_gets","ground_ball_gets","hitouts_to_advantage","intercept_marks","pressure_acts","ruck_contests","score_launches","spoils"
"Lindsay Thomas","Port Adelaide",16,"Forward",7.56,4.44,12,60.06,0.56,0.81,0,3.75,0.38,2.25,0.5,2.81,1.06,1.31,4.75,7.5,0,0.31,0.88,1.38,0.06,0.62,73.94,0.19,0.31,4.38,186.31,3.06,1.56,1.31,0,0.06,1.19,0.44,4.88,3.81,1.38,3.44,0,0.31,15.75,0,0.75,0.88
"Jack Trengove","Port Adelaide",5,"Interchange",9.6,5.6,15.2,80.6,0,0,0,2.6,1.6,2.2,0.6,1.8,0.8,1,2.8,11.8,0,0,0,1,0.2,0,78.4,0,0.6,2,190.6,2,4,0.2,0,0.2,0,0,6.2,7.2,0,1.8,0,0.8,10.6,0,0.4,0.4
"Tom Boyd","Western Bulldogs",23,"Ruck",4.91,6.3,11.22,68.39,0.57,0.3,18.43,2.35,0.7,1.83,1.74,2.57,1.26,1.13,5.65,6.13,0,0.52,0.78,3.74,0,0.39,79.91,0.57,1.13,3.83,128.91,1.87,1.22,0.65,0.04,0.17,1.83,0.17,4.35,2.87,0.61,3.3,4.04,0.35,11.09,49.78,1.35,2.83
"Matt Shaw","Carlton",4,"Midfield",9,6.75,15.75,64.5,0.25,0.25,0,1,1,2.25,0.5,2.75,0,0.25,2.25,13.5,0,0,0,1.5,0,0.25,82.75,0,0.5,3,180,3,1.75,0,0.5,0.75,0,0,8.25,4.5,0,1.5,0,0,12,0,0.25,1
"Harrison Marsh","Sydney",18,"Defender",7.83,6.94,14.78,78.11,0,0.11,0,1.44,2.89,1.78,0.06,1.89,0.44,0.61,4,10.61,0,0.28,0.06,2.67,0.28,0.22,81.39,0,0.06,2.67,258.94,3.22,4.89,0.06,0.56,2.17,0,0,6.72,5.61,0,3.33,0,1.22,8.83,0.78,1,2.28
"Alex Morgan","North Melbourne",2,"Forward",5,7,12,88.5,0,0,0,1,1,0.5,0,1.5,0,0,1.5,10.5,0,0,0,2.5,1,0,68.5,0,0,2.5,131,1,2,0,1.5,2.5,0,0,7,5,0,1,0,0,8.5,0,0.5,1
"Jake Long","Essendon",2,"Forward",7,6.5,13.5,74,0.5,0,0,5,1,1.5,1,3.5,2,2.5,4,10.5,0,0,0,3.5,1,0.5,80,0.5,0.5,4.5,214,4.5,2.5,1,0,0,1.5,0,8,4,0.5,2,0,0.5,17.5,0,1,1
"Shane Biggs","Western Bulldogs",21,"Interchange",12.57,6.48,19.05,77.95,0.05,0.05,0,2.1,3.57,1.67,0.19,1.81,0.48,0.43,4.29,14.43,0.05,0.38,0.05,1.9,0.71,0.33,80.86,0.05,0.14,2.86,328.38,3.33,4.29,0.24,0.33,1.29,0.14,0,8.14,9.33,0.1,3.24,0,0.9,12.43,0,0.76,1.24
"Wylie Buzza","Geelong",9,"Forward",4.44,3.67,8.11,60.78,0.67,0.67,3,3.22,0.56,1.67,0.67,3.33,0.78,1.89,4.89,3.78,0,1.22,1.33,1.33,0,0.67,76,0.22,0.44,3.44,107.22,2.44,1.33,1.33,0,0,2.89,0.44,2.89,2.33,0.89,2.22,1.56,0.44,11.56,13.78,0.67,1
"Ben Jacobs","North Melbourne",13,"Midfield",7.62,11.46,19.08,69.38,0.38,0.08,0,6.77,0.69,2.08,3.08,3.85,1.38,2.15,8.85,10.46,0.31,0.15,0.23,1.46,0.15,0.46,81.46,1.31,1.77,4.31,157.85,2.77,2.77,0.46,0.38,0.62,0,0,9.15,4.46,0.77,6.31,0,0.31,21.23,0,1.54,0.69
"Michael Apeness","Fremantle",5,"Ruck",4.2,6.8,11,80.8,0.6,0.2,15.4,3.8,0.2,0.6,2.2,3.4,1.2,2.2,6.4,4.8,0,0.8,0.8,3.4,0,0.4,86,1.2,1,4.4,81.6,2.8,1.4,0.6,0.2,0.4,3,0.4,4.4,2.6,0.6,4.2,3.8,0.4,11.2,49.8,2.2,3.2
"Paddy McCartin","St Kilda",18,"Forward",7.28,2.94,10.22,61.06,0.94,1.39,0.06,0.94,0.11,1.89,0,2.06,0.94,0.72,4.39,5.78,0,1.11,1.56,1.17,0,0.33,76.28,0,0,4.67,217.67,2.61,0.44,0.44,0,0.06,4.17,0.78,1.78,3.89,1.06,2.33,0,0.06,6.67,0.61,0.11,0.89
