Player,Position
Hugh Goddard,Key Def
Cameron Polson,Gen Fwd
Daniel Venables,Gen Fwd
Sean Lemmens,Gen Fwd
Stefan Giro,Gen Fwd
Jacob Allison,Gen Def
James Parsons,Gen Fwd
Matt Buntine,Gen Def
Ben Ronke,Gen Fwd
Nathan Brown,Key Def
Ian Hill,Gen Fwd
Travis Colyer,Gen Fwd
Tom Cole,Gen Def
Conor Nash,Key Fwd
Aaron vandenBerg,Mid
Roarke Smith,Gen Def
Colin O'Riordan,Gen Def
Zaine Cordy,Key Def
Max King,Key Fwd
Aiden Bonar,Gen Fwd
Oliver Hanrahan,Gen Fwd
Cam Sutcliffe,Mid
Jack Petruccelle,Gen Fwd
Joshua Wagner,Mid
Harrison Macreadie,Key Def
Brayden Ham,Gen Fwd
Kyle Hartigan,Key Def
Charlie Constable,Mid
Jarrod Brander,Key Fwd
Ryan Abbott,Ruck
Darcy Fort,Ruck
Chris Burgess,Key Def
Josh Corbett,Key Fwd
Hayden McLean,Key Fwd
Ed Richards,Gen Def
Rhylee West,Gen Fwd
Willem Drew,Mid
Jack Ross,Mid
Jamaine Jones,Gen Fwd
Ryan Garthwaite,Key Def
Tom De Koning,Key Fwd
Will Walker,Gen Fwd
Fergus Greene,Gen Fwd
Lachlan Keeffe,Key Def
Will Schofield,Key Def
Flynn Appleby,Gen Def
Mitchell Hibberd,Gen Def
Sam Wicks,Gen Fwd
Dylan Stephens,Mid
Brad Close,Gen Fwd
Jacob Dawson,Mid
Will Hayes,Mid
Jake Stein,Key Def
Ned McHenry,Gen Fwd
Kyle Dunkley,Gen Fwd
Lachie Young,Key Def
Trent Rivers,Gen Def
Sam Skinner,Key Def
Brayden Ainsworth,Mid
Caleb Graham,Key Def
Ryley Stoddart,Gen Fwd
Brandon Zerk-Thatcher,Key Def
Curtis Taylor,Mid
Callum Moore,Gen Def
Oskar Baker,Mid
Matt Eagles,Key Def
Kobe Mutch,Mid
Luke Jackson,Ruck
Minairo Frederick,Gen Fwd
Joe Atley,Mid
Darragh Joyce,Key Def
Tom Sparrow,Mid
Ben Cavarra,Gen Fwd
Jay Lockhart,Mid
Irving Mosquito,Gen Fwd
Lachlan Hosie,Gen Fwd
Tom Murphy,Gen Def
Jack Payne,Key Def
Ryan Gardner,Key Def
James Bell,Mid
Boyd Woodcock,Mid
Andrew McPherson,Gen Def
Sam Flanders,Gen Fwd
Tyler Brown,Mid
Doulton Langlands,Mid
Liam Stocker,Mid
Connor Budarick,Mid
Fischer McAsey,Key Def
Xavier O'Neill,Mid
Brad Lynch,Gen Def
Jack Mahony,Mid
Cody Weightman,Gen Fwd
Trey Ruscoe,Key Def
Patrick Wilson,Mid
Tristan Xerri,Key Fwd
Jack Bytel,Mid
Nic Reid,Gen Fwd
