Player,Team,Position,Rank
Lewis Melican,Sydney,Key Def,33
Ben McKay,N Melbourne,Key Def,32.7
Lachie Fogarty,Geelong,Gen Fwd,32.6
Luke Dahlhaus,Geelong,Gen Fwd,32.6
Oscar McDonald,Melbourne,Key Def,32.4
Robbie Fox,Sydney,Gen Fwd,31.8
Ben Paton,St Kilda,Gen Def,31.8
Sam Mayes,P Adelaide,Gen Def,31.8
Dean Kent,St Kilda,Gen Fwd,31.8
David Mackay,Adelaide,Gen Def,31.7
Mitchell Georgiades,P Adelaide,Key Fwd,31.4
Jarrod Cameron,West Coast,Gen Fwd,31.4
Paddy Dow,Carlton,Gen Fwd,31.4
Sam Durdin,N Melbourne,Key Def,31.2
Sam Draper,Essendon,Ruck,30.9
Conor Glass,Hawthorn,Gen Def,30.6
Taylin Duman,Fremantle,Gen Def,30.6
Ben Stratton,Hawthorn,Gen Def,30.4
Dylan Clarke,Essendon,Mid,30.2
Braydon Preuss,Melbourne,Ruck,30.2
Jordan Roughead,Collingwood,Key Def,30.2
Brendon Ah Chee,West Coast,Gen Fwd,30
Darcy Cameron,Collingwood,Ruck,29.8
Ed Vickers-Willis,N Melbourne,Gen Def,29.8
Patrick Ambrose,Essendon,Key Def,29.6
Joel Smith,Melbourne,Gen Def,29.4
Lynden Dunn,Collingwood,Gen Def,29.3
Zac Langdon,GWS,Gen Fwd,29.2
Lachlan Ash,GWS,Gen Def,29
Jack Hombsch,Gold Coast,Key Def,29
Daniel McKenzie,St Kilda,Gen Def,29
Charlie Spargo,Melbourne,Gen Fwd,28.9
Brandon Starcevich,Brisbane,Mid,28.9
Sam Jacobs,GWS,Ruck,28.8
Tom Green,GWS,Mid,28.8
Kade Kolodjashnij,Melbourne,Gen Def,28.7
Anthony Miles,Gold Coast,Mid,28.4
Darcy Lang,Carlton,Gen Fwd,28.4
Matthew Scharenberg,Collingwood,Gen Def,28.2
Kyron Hayden,N Melbourne,Gen Fwd,27.9
Hayden Young,Fremantle,Gen Def,27.9
Shane Mumford,GWS,Ruck,27.9
Sam J. Reid,GWS,Key Fwd,27.8
Todd Marshall,P Adelaide,Key Fwd,27.8
Josh Rotham,West Coast,Key Def,27.5
Brennan Cox,Fremantle,Key Fwd,27.4
Billy Gowers,Bulldogs,Gen Fwd,27.2
Jordan Gallucci,Adelaide,Gen Fwd,27.1
Brayden Sier,Collingwood,Mid,27.1
Daniel Howe,Hawthorn,Mid,26.8
Tim Broomhead,Collingwood,Gen Fwd,26.7
Tom Hickey,West Coast,Ruck,26.6
Billy Frampton,Adelaide,Ruck,26.4
Sam Naismith,Sydney,Ruck,26.3
Harry Cunningham,Sydney,Mid,26.2
Jake Waterman,West Coast,Key Fwd,26.2
Tory Dickson,Bulldogs,Gen Fwd,26
Adam Tomlinson,Melbourne,Mid,25.9
Harry Schoenberg,Adelaide,Mid,25.8
Michael Hartley,Hawthorn,Key Def,25.4
Harry Morrison,Hawthorn,Mid,25
Myles Poholke,Adelaide,Gen Fwd,24.8
Nathan Broad,Richmond,Gen Def,24.7
Darren Minchington,Hawthorn,Gen Fwd,24.5
